TRANSCRIPTION,EMOTION
 Thanks. Thanks a lot.  You're really helping the Excitement here. I hope no one dies.,exc
" Okey Well- well-, you know what?  I was hoping that you would help",exc
 plan everything.  So then you can make sure that no one gets attacked by bears.,exc
 Yeah?,exc
 Really?,exc
" Okay.  It's going to be in, like, six months.  So we don't have a really long time.",exc
 Okay.,xxx
 No.  No browns.,xxx
 It's a wedding.,xxx
 Blue for the sky.,xxx
 Come on.,xxx
 who- Who's getting married though?,xxx
 to help plan because I'm getting married. [LAUGHTER],xxx
 No.,xxx
 It's not your wedding. You can-,xxx
 You know what? You know what?,xxx
" You can't ruin my mood today.  If you want to wear a brown tux, you go ahead and wear a brown tux",xxx
 but bridesmaids aren't wearing brown and I'm not wearing brown.,xxx
 Maybe,xxx
 I like blue.,xxx
 That would work.,xxx
" Throw in a little- little, uh, trim in yellow.  Maybe some yellow flowers.",exc
" Yeah.  I hadn't actually thought about the cake yet, but",xxx
 Yes.,exc
 See this is why you have to help.,xxx
 because you're going to take care of everything.  You're going to think of all the details that I forget.,exc
 Well right but you can help.,xxx
 Ha ha ha.,exc
 Ha ha.,exc
 Just couldn't be any cooler.,exc
 I know.  I've been waiting forever.  I can't believe it's finally happening.,exc
 You don't look like you're going to faint.,exc
 So- So when are you getting married Mr. Excited?,exc
 What about Kathy?  I mean you guys have been dating for a while.,xxx
 You haven't ruined it yet.,exc
 You really like,exc
 What?  She could be just as excited as I am right now.,xxx
 You could make her that excited.  You really like her.  You guys have been together for a really long time now.,exc
 [LAUGHTER] That's more than I needed to know.,exc
 [laughter],exc
 What?  You seem so excited.,neu
" Uh, you got a new car, a new house. Uh, a dog.",neu
 Are you serious?  You're getting married.,sur
 Holy shit that's amazing.,exc
 Congratulations.,exc
" I'm invited, right.",exc
" I'll have to, uh, I'll have to get myself a new tux.  My, uh, the old one is a little worn and dirty.  That's awesome.  Where are you guys going to have it?",xxx
" Well, that's- that's- that's beautiful. That's a beautiful place to do it.",xxx
 That's great,xxx
 I hope- they're not like,xxx
" Right.  Nice.  That's great.  I hope while we're up there nobody gets attacked by any, like, bears or wolves or anything.",xxx
" Well no, I am- I'm trying to be positive",xxx
 I'm trying to be positive.  I'm trying to say I hope that doesn't happen.,xxx
 We're going to be in the middle of the wilderness. These kind of things happen,xxx
 Yeah.  I'll help plan.,exc
 Yeah.,xxx
 Sure.,xxx
" I'm thinking greens, lots of greens. Greens and browns.  We're nature.",xxx
 Why not browns?,neu
" It's a light brown, tanish.",neu
 I just think browns are really what you want to go with.  I mean I think there's more contrast between brown and green than there is-,neu
 I know but you just asked me to-,neu
 So we're going to go greens and browns.,xxx
" Come on.  Please will you do the greens and browns, just the browns for me?",fru
 Just for me.  Come on.  I'm your best friend.,xxx
 I'm your best friend,xxx
 Give me the browns.,xxx
 Okay.  Fine.  So green and what?,neu
 Blue?,neu
" Okay, fine. Greens and blues.",neu
 Greens and blues and maybe a little light yellow?,neu
 Yeah?,neu
" Okay.  That sounds good. Um, and, uh, we're going to get like a five, uh, story cake, right?",neu
" I mean, you know, you're going to have at least, like, two hundred and fifty people come.  So we're going to need, you know, just a huge buffet.",neu
" Fried chicken, mashed potatoes.",neu
 Well I can't be in charge of this.  I mean I got things I got to do.,neu
 Well this is really exciting.  I mean- I just- I couldn't be happier right now.,exc
 I'm thrilled.  God.,exc
 Just ecstatic.  I can't believe you're my best friend,exc
" You're my best friend, we're growing up and now you're getting married. that's amazing",exc
 Wow.  I just- I- I- I feel like I'm going to faint.,exc
 I'm so- all the blood,exc
" has just rushed to my head, and I, and I mean honestly.",exc
 I'm getting a little weak in the knees.,exc
" You know that I've never-I- I have a long run of bad relationships but, you know, I mean, you got to work through it.  It's fine.",xxx
" Yeah, but",xxx
" Yeah.  I know but it's, you know, maybe we'll get married.  I don't know.  Should be pretty-",xxx
" I don't know.  Okay.  I mean gosh.  There's just- look there's a lot of pressure in getting married, okay.",neu
" Oh, I've made her that excited.",xxx
 What?  You've heard me talk about it before.,xxx
 I'm a monster in bed.,xxx
 That's helpful.,neu
 I just don't think I can do this anymore.  It's been a really long time and it's not like I'm not trying.,fru
 I am try-  it's been three years,fru
 and I have gone everywhere I can think of.  I have given resumes.  I have done interviews.  I've tried to pull in favors.  I've asked everybody I know for help.  I don't know what else to do.,fru
" Okay but I've been trying for three years.  Three years and I haven't gotten a bite much less actually gotten hired, and I am smart enough.  Thank you very much.",fru
 I'm really good at what I do.  I just don't know how to make someone else see that.,ang
 What?  Who says that?  Bananas don't grow overnight.,ang
 Okay.  I think three years is a little excessive.,fru
" Yeah but you weren't unemployed for three years trying to find any job.  I mean at this point I'm going to go drive a cab or, you know, work at the gas station or something.  I don't even- I don't know what to do anymore.",ang
 Nothing I'm trying seems to work. Just-,fru
 Okay that's helpful.  Thanks.,xxx
 Clearly everything you're doing is completely wrong.,ang
 Well don't you understand that this is-,fru
 I don't even- I mean you have to have some kind of an idea.  Something you could possibly throw out there that I could maybe use.,ang
 I mean it's not like this is an,ang
 extreme request.  I want to find a job.  Everybody wants to find a job. It's really not that.,ang
" Okay. Okay, Fine.",ang
 Okey So I'm doing something wrong.  What am I doing wrong?,ang
 I'm really good at what I do.  I'm smart.  I'm trained.  I have the education.  I'm talented.  I cannot-,ang
 Well yeah I mean I like take a shower and stuff.,fru
 [LAUGHTER] Yeah.  Usually.,fru
" Yeah, I- I make my",fru
 I make myself very presentable before I go to any kind of interview.,fru
" Uhuh. Uhuh. Yeah, yeah. Good quote.",fru
 Buck-O. That's really helpful.  Just keep chugging along.  The little engine that could.,fru
 Well you- just you're doing something wrong.,ang
 Well maybe you could help.  I mean you've got a job.  I'm willing to look outside of my realm.  I could try something else.,fru
 I'll get it.  I just need a job.  I don't care what it is.,fru
 Well I mean I need to make a little bit more than the minimum wage fry flipper.,fru
 I did start somewhere.  I worked my way up.  I'm not going to start at the bottom again.,fru
 What's my problem?  What's my problem? I don't have a job.,ang
 I thought I was pretty clear about what the problem was.,ang
 Well maybe you could be a little helpful.  I mean obviously you don't have any problems so would it really take so much time out of your day to just go ahead and help somebody else.,fru
 That's important.  That's really important.,fru
 Hey.  Get out of the way.  I'm watching TV.,xxx
 Well I guess you're not trying hard enough.,neu
" Just, I don't know, maybe you're not smart enough.",neu
 I mean I don't know just go out and keep trying. Just-,neu
 I don't know.,neu
" Hey.  Look, I mean- you know.",neu
 Look bananas don't grow overnight.  Okay.,neu
 You need that- Time-,neu
" You know- You need to just- you need, I mean it takes time to get a good job.  I mean-",neu
" look at me, like, you know. I mean, Hey, I- it took me, you know, like six years to get where I am now. I mean-",neu
 I don't know.  I mean whatever.,fru
 Clearly.,xxx
 Look I'm sorry okay. It's just-,xxx
" I mean, well I mean i don't know; it doesn't really affect my life, you know.",neu
" Yeah, I understand, but-",neu
" I don't know. Well like, I don't know. I mean-",neu
 Clearly- cle- clearly you're doing something wrong.,neu
" 'Cause if you've been looking, you've been applying for jobs for three years. And-",neu
 Are you- I mean do you like get dressed up and everything when you go to the job interview?,neu
" And you like- you know, you shave your legs and everything?",neu
" and I want- I mean you know you've got to, like, do your hair.  I mean- I don't know, it's like,",neu
